player,team,salary,league
Daniel Gafford,Dallas Mavericks,14386320,NBA
Deni Avdija,Portland Trail Blazers,14375000,NBA
P.J. Washington,Dallas Mavericks,14152174,NBA
Steven Adams,Houston Rockets,14130434,NBA
Dennis Schröder,Cleveland Cavaliers,14104000,NBA
Caris LeVert,Detroit Pistons,14104000,NBA
Obi Toppin,Indiana Pacers,14000000,NBA
Corey Kispert,Atlanta Hawks,13975000,NBA
Austin Reaves,Los Angeles Lakers,13937574,NBA
Herbert Jones,New Orleans Pelicans,13937574,NBA
Cooper Flagg,Dallas Mavericks,13825920,NBA
Chet Holmgren,Oklahoma City Thunder,13731368,NBA
Josh Green,Charlotte Hornets,13666667,NBA
Grant Williams,Charlotte Hornets,13645500,NBA
Bobby Portis,Milwaukee Bucks,13445754,NBA
Kelly Olynyk,San Antonio Spurs,13445122,NBA
Victor Wembanyama,San Antonio Spurs,13376880,NBA
Robert Williams,Portland Trail Blazers,13285713,NBA
Zaccharie Risacher,Atlanta Hawks,13197720,NBA
Mitchell Robinson,New York Knicks,12954546,NBA
Jordan Clarkson,Utah Jazz,12947835,NBA
Coby White,Charlotte Hornets,12888889,NBA
Dorian Finney-Smith,Houston Rockets,12700000,NBA
Brandon Clarke,Memphis Grizzlies,12500000,NBA
Dylan Harper,San Antonio Spurs,12370320,NBA
Isaiah Joe,Oklahoma City Thunder,12362338,NBA
Jabari Smith Jr.,Houston Rockets,12350392,NBA
Donte DiVincenzo,Minnesota Timberwolves,11990000,NBA
Brandon Miller,Charlotte Hornets,11968800,NBA
Alex Sarr,Washington Wizards,11808240,NBA
Davion Mitchell,Miami Heat,11600000,NBA
Moses Moody,Golden State Warriors,11574075,NBA
Jarred Vanderbilt,Los Angeles Lakers,11571429,NBA
Matisse Thybulle,Portland Trail Blazers,11550000,NBA
Gabe Vincent,Atlanta Hawks,11500000,NBA
Mike Conley,Charlotte Hornets,11499872,NBA
Keegan Murray,Sacramento Kings,11144093,NBA
VJ Edgecombe,Philadelphia 76ers,11108880,NBA
Maxi Kleber,Los Angeles Lakers,11000000,NBA
Luke Kennard,Los Angeles Lakers,11000000,NBA
Isaac Okoro,Chicago Bulls,11000000,NBA
Luke Kornet,San Antonio Spurs,11000000,NBA
Aaron Nesmith,Indiana Pacers,11000000,NBA
Wendell Carter Jr.,Orlando Magic,10850000,NBA
Scoot Henderson,Portland Trail Blazers,10748040,NBA
Pat Connaughton,Charlotte Hornets,10739683,NBA
Reed Sheppard,Houston Rockets,10603560,NBA
Jonas Valančiūnas,Denver Nuggets,10395000,NBA
T.J. McConnell,Indiana Pacers,10200000,NBA
Royce O'Neale,Phoenix Suns,10125000,NBA
Jaden Ivey,Chicago Bulls,10107163,NBA
Aaron Wiggins,Oklahoma City Thunder,10102803,NBA
Sam Hauser,Boston Celtics,10044644,NBA
Kon Knueppel,Charlotte Hornets,10015680,NBA
Derrick Jones Jr.,Los Angeles Clippers,10000000,NBA
Lonzo Ball,Utah Jazz,10000000,NBA
Amen Thompson,Houston Rockets,9690600,NBA
Caleb Martin,Dallas Mavericks,9594044,NBA
Stephon Castle,San Antonio Spurs,9560520,NBA
Buddy Hield,Atlanta Hawks,9219512,NBA
Kyle Anderson,Memphis Grizzlies,9219512,NBA
Bennedict Mathurin,Los Angeles Clippers,9187573,NBA
Ace Bailey,Utah Jazz,9069840,NBA
Naji Marshall,Dallas Mavericks,9000000,NBA
Jalen Smith,Chicago Bulls,9000000,NBA
Ty Jerome,Memphis Grizzlies,8781000,NBA
Ausar Thompson,Detroit Pistons,8775000,NBA
Brook Lopez,Los Angeles Clippers,8750000,NBA
Quentin Grimes,Philadelphia 76ers,8741209,NBA
Ron Holland,Detroit Pistons,8657280,NBA
Sam Merrill,Cleveland Cavaliers,8482144,NBA
Jaylin Williams,Oklahoma City Thunder,8450704,NBA
Shaedon Sharpe,Portland Trail Blazers,8399983,NBA
Kelly Oubre Jr.,Philadelphia 76ers,8382150,NBA
Goga Bitadze,Orlando Magic,8333333,NBA
Simone Fontecchio,Miami Heat,8307692,NBA
Tre Johnson,Washington Wizards,8237640,NBA
Georges Niang,Memphis Grizzlies,8200000,NBA
Zeke Nnaji,Denver Nuggets,8177778,NBA
Tre Mann,Charlotte Hornets,8000000,NBA
Tre Jones,Chicago Bulls,8000000,NBA
Kevon Looney,New Orleans Pelicans,8000000,NBA
Anthony Black,Orlando Magic,7970280,NBA
Jeremy Sochan,San Antonio Spurs,7874853,NBA
Tidjane Salaün,Charlotte Hornets,7863240,NBA
Max Christie,Dallas Mavericks,7714286,NBA
Dyson Daniels,Atlanta Hawks,7707709,NBA
Jevon Carter,Chicago Bulls,7680524,NBA
Isaiah Jackson,Los Angeles Clippers,7600000,NBA
Jeremiah Fears,New Orleans Pelicans,7520040,NBA
Ayo Dosunmu,Minnesota Timberwolves,7518518,NBA
Bilal Coulibaly,Washington Wizards,7275600,NBA
Payton Pritchard,Boston Celtics,7232143,NBA
Donovan Clingan,Portland Trail Blazers,7178400,NBA
Kenrich Williams,Oklahoma City Thunder,7163000,NBA
Tyus Jones,Dallas Mavericks,7000000,NBA
Egor Dёmin,Brooklyn Nets,6889200,NBA
Cam Thomas,Brooklyn Nets,6837779,NBA
Clint Capela,Houston Rockets,6700000,NBA
Ousmane Dieng,Milwaukee Bucks,6670882,NBA
Jarace Walker,Indiana Pacers,6665520,NBA
Dean Wade,Cleveland Cavaliers,6623456,NBA
Jalen Williams,Oklahoma City Thunder,6580997,NBA
Rob Dillingham,Chicago Bulls,6576120,NBA
Jalen Duren,Detroit Pistons,6483144,NBA
Haywood Highsmith,Brooklyn Nets,6443984,NBA
Ochai Agbaji,Brooklyn Nets,6383525,NBA
Collin Murray-Boyles,Toronto Raptors,6332520,NBA
Mark Williams,Phoenix Suns,6276531,NBA
