player,team,division,salary,league
Corbin Carroll,Arizona Diamondbacks,NL West,10620000,MLB
Jeffrey Springs,Athletics,AL West,10500000,MLB
Marcell Ozuna,Pittsburgh Pirates,NL Central,10500000,MLB
Harrison Bader,San Francisco Giants,NL West,10250000,MLB
Alec Bohm,Philadelphia Phillies,NL East,10200000,MLB
Jazz Chisholm Jr.,New York Yankees,AL East,10200000,MLB
Max Muncy,Los Angeles Dodgers,NL West,10000000,MLB
Carlos EstÃ©vez,Kansas City Royals,AL Central,10000000,MLB
Seranthony DomÃ­nguez,Chicago White Sox,AL Central,10000000,MLB
Tyler Mahle,San Francisco Giants,NL West,10000000,MLB
Emilio PagÃ¡n,Cincinnati Reds,NL Central,10000000,MLB
Jack Flaherty,Detroit Tigers,AL Central,10000000,MLB
Adolis GarcÃ­a,Philadelphia Phillies,NL East,10000000,MLB
Aaron Bummer,Atlanta Braves,NL East,9500000,MLB
Kyle Finnegan,Detroit Tigers,AL Central,9500000,MLB
Luke Weaver,New York Mets,NL East,9500000,MLB
Jeremy PeÃ±a,Houston Astros,AL West,9470000,MLB
William Contreras,Milwaukee Brewers,NL Central,9400000,MLB
Isaac Paredes,Houston Astros,AL West,9350000,MLB
Nick Martinez,Tampa Bay Rays,AL East,9000000,MLB
David Bednar,New York Yankees,AL East,9000000,MLB
Mike Yastrzemski,Atlanta Braves,NL East,9000000,MLB
Brad Keller,Philadelphia Phillies,NL East,9000000,MLB
Joe JimÃ©nez,Atlanta Braves,NL East,9000000,MLB
Kenley Jansen,Detroit Tigers,AL Central,9000000,MLB
Alejandro Kirk,Toronto Blue Jays,AL East,8700000,MLB
Tyler Rogers,Toronto Blue Jays,AL East,8670000,MLB
Gunnar Henderson,Baltimore Orioles,AL East,8500000,MLB
Hunter Greene,Cincinnati Reds,NL Central,8330000,MLB
David Peterson,New York Mets,NL East,8100000,MLB
Jonathan India,Kansas City Royals,AL Central,8000000,MLB
Michael Lorenzen,Colorado Rockies,NL West,8000000,MLB
Michael Harris II,Atlanta Braves,NL East,8000000,MLB
Zach Eflin,Baltimore Orioles,AL East,8000000,MLB
Brent Rooker,Athletics,AL West,8000000,MLB
Justin Verlander,Detroit Tigers,AL Central,7860000,MLB
Gregory Soto,Pittsburgh Pirates,NL Central,7750000,MLB
Steven Kwan,Cleveland Guardians,AL Central,7720000,MLB
Jarren Duran,Boston Red Sox,AL East,7700000,MLB
Andrew Vaughn,Milwaukee Brewers,NL Central,7650000,MLB
Steven Matz,Tampa Bay Rays,AL East,7500000,MLB
Jhoan Duran,Philadelphia Phillies,NL East,7500000,MLB
Garrett Whitlock,Boston Red Sox,AL East,7500000,MLB
Michael Soroka,Arizona Diamondbacks,NL West,7500000,MLB
Yimi GarcÃ­a,Toronto Blue Jays,AL East,7500000,MLB
Myles Straw,Toronto Blue Jays,AL East,7400000,MLB
Adley Rutschman,Baltimore Orioles,AL East,7250000,MLB
Jackson Chourio,Milwaukee Brewers,NL Central,7250000,MLB
Danny Jansen,Texas Rangers,AL West,7250000,MLB
Adrian Houser,San Francisco Giants,NL West,7000000,MLB
Trevor Williams,Washington Nationals,NL East,7000000,MLB
Drew Anderson,Detroit Tigers,AL Central,7000000,MLB
Victor Caratini,Minnesota Twins,AL Central,7000000,MLB
Ke'Bryan Hayes,Cincinnati Reds,NL Central,7000000,MLB
Luis GarcÃ­a Jr.,Washington Nationals,NL East,6880000,MLB
Tyler Stephenson,Cincinnati Reds,NL Central,6800000,MLB
JesÃºs SÃ¡nchez,Toronto Blue Jays,AL East,6800000,MLB
Ryan Mountcastle,Baltimore Orioles,AL East,6790000,MLB
Justin Steele,Chicago Cubs,NL Central,6780000,MLB
Kyle Higashioka,Texas Rangers,AL West,6750000,MLB
Ryan Jeffers,Minnesota Twins,AL Central,6700000,MLB
Jason Adam,San Diego Padres,NL West,6670000,MLB
Yariel RodrÃ­guez,Toronto Blue Jays,AL East,6600000,MLB
George Kirby,Seattle Mariners,AL West,6550000,MLB
Evan Phillips,Los Angeles Dodgers,NL West,6500000,MLB
Cedric Mullins,Tampa Bay Rays,AL East,6500000,MLB
Emmanuel Clase,Cleveland Guardians,AL Central,6400000,MLB
Willi Castro,Colorado Rockies,NL West,6400000,MLB
Geraldo Perdomo,Arizona Diamondbacks,NL West,6250000,MLB
Rob Refsnyder,Seattle Mariners,AL West,6250000,MLB
Trevor Rogers,Baltimore Orioles,AL East,6200000,MLB
Brayan Bello,Boston Red Sox,AL East,6170000,MLB
Kris Bubic,Kansas City Royals,AL Central,6150000,MLB
Casey Mize,Detroit Tigers,AL Central,6150000,MLB
Joe Ryan,Minnesota Twins,AL Central,6100000,MLB
Camilo Doval,New York Yankees,AL East,6100000,MLB
Mauricio DubÃ³n,Atlanta Braves,NL East,6100000,MLB
Isiah Kiner-Falefa,Boston Red Sox,AL East,6000000,MLB
Aaron Civale,Athletics,AL West,6000000,MLB
Travis d'Arnaud,Los Angeles Angels,AL West,6000000,MLB
Cody Ponce,Toronto Blue Jays,AL East,6000000,MLB
Hunter Harvey,Chicago Cubs,NL Central,6000000,MLB
Jose Quintana,Colorado Rockies,NL West,6000000,MLB
Bryson Stott,Philadelphia Phillies,NL East,5900000,MLB
Bryan Abreu,Houston Astros,AL West,5850000,MLB
Brendan Donovan,Seattle Mariners,AL West,5800000,MLB
Dean Kremer,Baltimore Orioles,AL East,5750000,MLB
Yuki Matsui,San Diego Padres,NL West,5750000,MLB
Josh Bell,Minnesota Twins,AL Central,5750000,MLB
Drew Rasmussen,Tampa Bay Rays,AL East,5750000,MLB
Hunter Brown,Houston Astros,AL West,5710000,MLB
Aaron Ashby,Milwaukee Brewers,NL Central,5700000,MLB
MacKenzie Gore,Texas Rangers,AL West,5600000,MLB
Gavin Lux,Tampa Bay Rays,AL East,5530000,MLB
Foster Griffin,Washington Nationals,NL East,5500000,MLB
Miguel Rojas,Los Angeles Dodgers,NL West,5500000,MLB
Pierce Johnson,Cincinnati Reds,NL Central,5500000,MLB
Phil Maton,Chicago Cubs,NL Central,5500000,MLB
Keibert Ruiz,Washington Nationals,NL East,5380000,MLB
Lars Nootbaar,St. Louis Cardinals,NL Central,5350000,MLB
Lane Thomas,Kansas City Royals,AL Central,5250000,MLB
Jose Trevino,Cincinnati Reds,NL Central,5250000,MLB
Shea Langeliers,Athletics,AL West,5250000,MLB
Ezequiel Tovar,Colorado Rockies,NL West,5210000,MLB
Jo Adell,Los Angeles Angels,AL West,5200000,MLB
Brandon Marsh,Philadelphia Phillies,NL East,5200000,MLB
Bailey Ober,Minnesota Twins,AL Central,5200000,MLB
VÃ­ctor Robles,Seattle Mariners,AL West,5120000,MLB
Tomoyuki Sugano,Colorado Rockies,NL West,5100000,MLB
Carson Kelly,Chicago Cubs,NL Central,5000000,MLB
Austin Hays,Chicago White Sox,AL Central,5000000,MLB
Kirby Yates,Los Angeles Angels,AL West,5000000,MLB
Riley Greene,Detroit Tigers,AL Central,5000000,MLB
Anthony Kay,Chicago White Sox,AL Central,5000000,MLB
Nick Lodolo,Cincinnati Reds,NL Central,4720000,MLB
Trevor Megill,Milwaukee Brewers,NL Central,4700000,MLB
Ernie Clement,Toronto Blue Jays,AL East,4600000,MLB
Cole Ragans,Kansas City Royals,AL Central,4580000,MLB
Sean Newcomb,Chicago White Sox,AL Central,4500000,MLB
Enrique HernÃ¡ndez,Los Angeles Dodgers,NL West,4500000,MLB
Caleb Ferguson,Cincinnati Reds,NL Central,4500000,MLB
Yainer Diaz,Houston Astros,AL West,4500000,MLB
Clarke Schmidt,New York Yankees,AL East,4500000,MLB
Gavin Sheets,San Diego Padres,NL West,4500000,MLB
Trevor Larnach,Minnesota Twins,AL Central,4470000,MLB
Edward Cabrera,Chicago Cubs,NL Central,4450000,MLB
Tanner Bibee,Cleveland Guardians,AL Central,4400000,MLB
Edmundo Sosa,Philadelphia Phillies,NL East,4400000,MLB
Eric Lauer,Toronto Blue Jays,AL East,4400000,MLB
Colt Keith,Detroit Tigers,AL Central,4330000,MLB
JoJo Romero,St. Louis Cardinals,NL Central,4260000,MLB
CJ Abrams,Washington Nationals,NL East,4200000,MLB
Vinnie Pasquantino,Kansas City Royals,AL Central,4200000,MLB
Zach McKinstry,Detroit Tigers,AL Central,4200000,MLB
Maikel Garcia,Kansas City Royals,AL Central,4200000,MLB
Brice Turang,Milwaukee Brewers,NL Central,4150000,MLB
Zach Neto,Los Angeles Angels,AL West,4150000,MLB
Tanner Houck,Boston Red Sox,AL East,4099999,MLB
Spencer Torkelson,Detroit Tigers,AL Central,4080000,MLB
Shawn Armstrong,Cleveland Guardians,AL Central,4000000,MLB
Drew Pomeranz,Los Angeles Angels,AL West,4000000,MLB
YoÃ¡n Moncada,Los Angeles Angels,AL West,4000000,MLB
Chris Martin,Texas Rangers,AL West,4000000,MLB
Spencer Steer,Cincinnati Reds,NL Central,4000000,MLB
Paul Goldschmidt,New York Yankees,AL East,4000000,MLB
Mickey Moniak,Colorado Rockies,NL West,4000000,MLB
Caleb Thielbar,Chicago Cubs,NL Central,4000000,MLB
Chris Paddack,Miami Marlins,NL East,4000000,MLB
Andre Pallante,St. Louis Cardinals,NL Central,4000000,MLB
Mason Miller,San Diego Padres,NL West,4000000,MLB
Will Vest,Detroit Tigers,AL Central,3950000,MLB
Ryan Thompson,Arizona Diamondbacks,NL West,3950000,MLB
AdriÃ¡n MorejÃ³n,San Diego Padres,NL West,3900000,MLB
Tyrone Taylor,New York Mets,NL East,3800000,MLB
TJ Friedl,Cincinnati Reds,NL Central,3800000,MLB
Hoby Milner,Chicago Cubs,NL Central,3750000,MLB
John Schreiber,Kansas City Royals,AL Central,3710000,MLB
Shane McClanahan,Tampa Bay Rays,AL East,3600000,MLB
Bailey Falter,Kansas City Royals,AL Central,3600000,MLB
Griffin Jax,Tampa Bay Rays,AL East,3560000,MLB
Alex Vesia,Los Angeles Dodgers,NL West,3550000,MLB
Kyle Bradish,Baltimore Orioles,AL East,3550000,MLB
Jake Meyers,Houston Astros,AL West,3550000,MLB
Luis Rengifo,Milwaukee Brewers,NL Central,3500000,MLB
Ryne Stanek,St. Louis Cardinals,NL Central,3500000,MLB
Cristopher SÃ¡nchez,Philadelphia Phillies,NL East,3500000,MLB
Dennis Santana,Pittsburgh Pirates,NL Central,3500000,MLB
Shane Baz,Baltimore Orioles,AL East,3500000,MLB
Anthony Volpe,New York Yankees,AL East,3480000,MLB
Lawrence Butler,Athletics,AL West,3430000,MLB
Brandon Pfaadt,Arizona Diamondbacks,NL West,3400000,MLB
Chas McCormick,Chicago Cubs,NL Central,3400000,MLB
Mike Tauchman,New York Mets,NL East,3400000,MLB
Oneil Cruz,Pittsburgh Pirates,NL Central,3300000,MLB
Alec Burleson,St. Louis Cardinals,NL Central,3300000,MLB
Kerry Carpenter,Detroit Tigers,AL Central,3270000,MLB
Matt Vierling,Detroit Tigers,AL Central,3230000,MLB
Josh Smith,Texas Rangers,AL West,3230000,MLB
Jake Burger,Texas Rangers,AL West,3200000,MLB
A.J. Puk,Arizona Diamondbacks,NL West,3100000,MLB
Brenton Doyle,Colorado Rockies,NL West,3100000,MLB
Jake Rogers,Detroit Tigers,AL Central,3050000,MLB
Ryan Pepiot,Tampa Bay Rays,AL East,3020000,MLB
Jake Fraley,Tampa Bay Rays,AL East,3000000,MLB
Zack Littell,Washington Nationals,NL East,3000000,MLB
Max Scherzer,Toronto Blue Jays,AL East,3000000,MLB
Tyler Kinley,Atlanta Braves,NL East,3000000,MLB
Ryne Nelson,Arizona Diamondbacks,NL West,3000000,MLB
Tim Hill,New York Yankees,AL East,3000000,MLB
Keegan Akin,Baltimore Orioles,AL East,2980000,MLB
Josh Jung,Texas Rangers,AL West,2900000,MLB
JosÃ© Soriano,Los Angeles Angels,AL West,2900000,MLB
Santiago Espinal,Los Angeles Dodgers,NL West,2900000,MLB
Royce Lewis,Minnesota Twins,AL Central,2850000,MLB
Mark Leiter Jr.,Athletics,AL West,2850000,MLB
Anthony Bender,Miami Marlins,NL East,2810000,MLB
Jake Irvin,Washington Nationals,NL East,2800000,MLB
Brusdar Graterol,Los Angeles Dodgers,NL West,2800000,MLB
Matthew Liberatore,St. Louis Cardinals,NL Central,2800000,MLB
JP Sears,San Diego Padres,NL West,2750000,MLB
Jakob Junis,Texas Rangers,AL West,2750000,MLB
Kutter Crawford,Boston Red Sox,AL East,2750000,MLB
Kevin Ginkel,Arizona Diamondbacks,NL West,2750000,MLB
Ben Lively,Cleveland Guardians,AL Central,2700000,MLB
Kyle Isbel,Kansas City Royals,AL Central,2700000,MLB
Jake Bauers,Milwaukee Brewers,NL Central,2700000,MLB
Nolan Gorman,St. Louis Cardinals,NL Central,2650000,MLB
Logan O'Hoppe,Los Angeles Angels,AL West,2620000,MLB
Roman Anthony,Boston Red Sox,AL East,2620000,MLB
Reid Detmers,Los Angeles Angels,AL West,2620000,MLB
Josh Lowe,Los Angeles Angels,AL West,2600000,MLB
Gabriel Moreno,Arizona Diamondbacks,NL West,2550000,MLB
Nick Fortes,Tampa Bay Rays,AL East,2540000,MLB
Joey Bart,Pittsburgh Pirates,NL Central,2530000,MLB
Tylor Megill,New York Mets,NL East,2500000,MLB
Trent Thornton,Chicago Cubs,NL Central,2500000,MLB
Amed Rosario,New York Yankees,AL East,2500000,MLB
Ryan Yarbrough,New York Yankees,AL East,2500000,MLB
Ryan Feltner,Colorado Rockies,NL West,2450000,MLB
Taylor Walls,Tampa Bay Rays,AL East,2450000,MLB
