Team,Team_Code,Player_Name,Position,Salary,Salary_Amount
Golden State Valkyries,GS,Veronica Burton,G,"$78,831",78831.0
Seattle Storm,SEA,Dominique Malonga,C,"$78,831",78831.0
Seattle Storm,SEA,Erica Wheeler,G,"$78,831",78831.0
Washington Mystics,WAS,Sonia Citron,G,"$78,831",78831.0
Minnesota Lynx,MIN,Jessica Shepard,F,"$78,831",78831.0
Washington Mystics,WAS,Kiki Iriafen,F,"$78,831",78831.0
Washington Mystics,WAS,Sug Sutton,G,"$78,831",78831.0
Dallas Wings,DAL,Paige Bueckers,G,"$78,831",78831.0
Las Vegas Aces,LV,Cheyenne Parker,F,"$78,831",78831.0
New York Liberty,NY,Kennedy Burke,G,"$78,831",78831.0
Connecticut Sun,CON,Bria Hartley,G,"$78,831",78831.0
Chicago Sky,CHI,Kamilla Cardoso,C,"$78,066",78066.0
Indiana Fever,IND,Caitlin Clark,G,"$78,066",78066.0
Los Angeles Sparks,LA,Cameron Brink,F,"$78,066",78066.0
Los Angeles Sparks,LA,Rickea Jackson,F,"$78,066",78066.0
Seattle Storm,SEA,Jordan Horston,F,"$76,630",76630.0
New York Liberty,NY,Emma Meesseman,F,"$75,694",75694.0
Connecticut Sun,CON,Saniya Rivers,G,"$75,643",75643.0
Connecticut Sun,CON,Aneesah Morrow,F,"$75,643",75643.0
Washington Mystics,WAS,Georgia Amoore,G,"$75,643",75643.0
Washington Mystics,WAS,Jacy Sheldon,G,"$74,909",74909.0
Chicago Sky,CHI,Angel Reese,F,"$74,909",74909.0
Connecticut Sun,CON,Aaliyah Edwards,F,"$74,909",74909.0
Minnesota Lynx,MIN,Dorka Juhasz,F,"$73,258",73258.0
Dallas Wings,DAL,Aziaha James,G,"$72,455",72455.0
Golden State Valkyries,GS,Carla Leite,G,"$72,455",72455.0
Connecticut Sun,CON,Leila Lacan,G,"$72,455",72455.0
Chicago Sky,CHI,Hailey Van Lith,G,"$72,455",72455.0
Los Angeles Sparks,LA,Sarah Ashlee Barker,G,"$72,455",72455.0
Indiana Fever,IND,DeWanna Bonner,F,"$72,283",72283.0
Minnesota Lynx,MIN,Dead Money,N/A,"$69,420",69420.0
Las Vegas Aces,LV,Aaliyah Nye,G,"$69,267",69267.0
Chicago Sky,CHI,Maddy Westbeld,F,"$69,267",69267.0
Connecticut Sun,CON,Rayah Marshall,C,"$69,267",69267.0
Indiana Fever,IND,Makayla Timpson,F,"$69,267",69267.0
Minnesota Lynx,MIN,Anastasiia Kosu,F,"$69,267",69267.0
Washington Mystics,WAS,Lucy Olsen,G,"$69,267",69267.0
Atlanta Dream,ATL,Te-Hina Paopao,G,"$69,267",69267.0
Los Angeles Sparks,LA,Sania Feagin,F,"$69,267",69267.0
Seattle Storm,SEA,Nika Mühl,G,"$68,595",68595.0
New York Liberty,NY,Leonie Fiebich,F,"$68,595",68595.0
Golden State Valkyries,GS,Kate Martin,G,"$68,595",68595.0
Washington Mystics,WAS,Sika Koné,F,"$66,710",66710.0
Washington Mystics,WAS,Jade Melbourne,G,"$66,710",66710.0
Dallas Wings,DAL,Li Yueru,C,"$66,079",66079.0
Phoenix Mercury,PHX,Natasha Mack,F,"$66,079",66079.0
Phoenix Mercury,PHX,Helena Pueyo,G,"$66,079",66079.0
Phoenix Mercury,PHX,Julia Ayrault,G,"$66,079",66079.0
Los Angeles Sparks,LA,Julie Vanloo,G,"$66,079",66079.0
Phoenix Mercury,PHX,Monique Akoa-Makani,G,"$66,079",66079.0
Phoenix Mercury,PHX,Lexi Held,G,"$66,079",66079.0
Phoenix Mercury,PHX,Kathryn Westbeld,F,"$66,079",66079.0
Golden State Valkyries,GS,Janelle Salaun,F,"$66,079",66079.0
Dallas Wings,DAL,JJ Quinerly,G,"$66,079",66079.0
Dallas Wings,DAL,Luisa Geiselsoder,C,"$66,079",66079.0
New York Liberty,NY,Rebekah Gardner,G,"$66,079",66079.0
Washington Mystics,WAS,Zia Cooke,G,"$66,079",66079.0
New York Liberty,NY,Jaylyn Sherrod,G,"$66,079",66079.0
New York Liberty,NY,Raquel Carrera,C,"$66,079",66079.0
New York Liberty,NY,Seehia Ridard,F,"$66,079",66079.0
New York Liberty,NY,Annika Soltau,F,"$66,079",66079.0
New York Liberty,NY,Marine Johannes,G,"$66,079",66079.0
Washington Mystics,WAS,Emily Engstler,F,"$66,079",66079.0
Atlanta Dream,ATL,Taylor Thierry,F,"$66,079",66079.0
Atlanta Dream,ATL,Maya Caldwell,G,"$66,079",66079.0
Atlanta Dream,ATL,Holly Winterburn,G,"$66,079",66079.0
Connecticut Sun,CON,Mamignan Touré,F,"$66,079",66079.0
Phoenix Mercury,PHX,DeWanna Bonner,F,"$63,721",63721.0
Los Angeles Sparks,LA,Odyssey Sims,G,"$54,622",54622.0
Minnesota Lynx,MIN,Maria Kliundikova,C,"$54,418",54418.0
Connecticut Sun,CON,Haley Peters,F,"$53,658",53658.0
Golden State Valkyries,GS,Laeticia Amihere,C,"$53,307",53307.0
Indiana Fever,IND,Aari McDonald,G,"$52,333",52333.0
Golden State Valkyries,GS,Kaitlyn Chen,G,"$49,420",49420.0
Seattle Storm,SEA,Mackenzie Holmes,F,"$48,865",48865.0
