player,team,salary,league
Chloe Bibby,Indiana Fever,23322,WNBA
Kaila Charles,Dallas Wings,21198,WNBA
Kiana Williams,Phoenix Mercury,21101,WNBA
Diamond DeShields,Connecticut Sun,20294,WNBA
Jaylyn Sherrod,Minnesota Lynx,18880,WNBA
Joyner Holmes,Las Vegas Aces,17223,WNBA
Liatu King,Los Angeles Sparks,16659,WNBA
Bree Hall,Golden State Valkyries,16659,WNBA
Crystal Bradford,Las Vegas Aces,16103,WNBA
Sika Koné,Atlanta Dream,15548,WNBA
Kyara Linskens,Golden State Valkyries,14437,WNBA
Shey Peddy,Indiana Fever,13911,WNBA
Odyssey Sims,Indiana Fever,13911,WNBA
Kaila Charles,Golden State Valkyries,13911,WNBA
Kaila Charles,Golden State Valkyries,13911,WNBA
Zia Cooke,Seattle Storm,13882,WNBA
Kiana Williams,Phoenix Mercury,12772,WNBA
Marieme Badiane,Minnesota Lynx,12216,WNBA
Madison Scott,Washington Mystics,11661,WNBA
Camryn Taylor,Minnesota Lynx,11661,WNBA
Grace Berger,Dallas Wings,11661,WNBA
Alissa Pili,Los Angeles Sparks,11661,WNBA
Robyn Parks,Connecticut Sun,11106,WNBA
Sevgi Uzun,Phoenix Mercury,11106,WNBA
Alissa Pili,Los Angeles Sparks,10550,WNBA
Chloe Bibby,Golden State Valkyries,9995,WNBA
Shey Peddy,Los Angeles Sparks,9440,WNBA
Aerial Powers,Indiana Fever,9274,WNBA
Camryn Taylor,Minnesota Lynx,7949,WNBA
Odyssey Sims,Indiana Fever,7949,WNBA
Amy Okonkwo,Dallas Wings,7774,WNBA
Mamignan Touré,Connecticut Sun,7774,WNBA
Kaila Charles,Dallas Wings,6956,WNBA
Christyn Williams,Dallas Wings,6802,WNBA
Aari McDonald,Indiana Fever,6459,WNBA
Haley Jones,Phoenix Mercury,5553,WNBA
Serena Sundell,Dallas Wings,5136,WNBA
Haley Jones,Dallas Wings,4998,WNBA
Liatu King,Dallas Wings,4998,WNBA
Bree Hall,Indiana Fever,4442,WNBA
Madison Scott,Washington Mystics,4442,WNBA
Aerial Powers,Indiana Fever,3975,WNBA
Alexis Prince,Phoenix Mercury,3975,WNBA
Yvonne Anderson,Minnesota Lynx,3887,WNBA
Yvonne Anderson,Minnesota Lynx,3887,WNBA
Marquesha Davis,Chicago Sky,3887,WNBA
Kamiah Smalls,Atlanta Dream,3887,WNBA
Elizabeth Kitley,Golden State Valkyries,3887,WNBA
Kamiah Smalls,Atlanta Dream,3887,WNBA
Grace Berger,Dallas Wings,3887,WNBA
Mamignan Touré,Connecticut Sun,3887,WNBA
Chloe Bibby,Indiana Fever,3887,WNBA
Kyra Lambert,Indiana Fever,3887,WNBA
Amy Okonkwo,Dallas Wings,2915,WNBA
Ajae Petty,Dallas Wings,2915,WNBA
Shey Peddy,Indiana Fever,1987,WNBA
Grace Berger,Los Angeles Sparks,1666,WNBA
Ajae Petty,Dallas Wings,1250,WNBA
